transaction_id,listing_id,buyer_name,buyer_email,price,date
36,80,Admiral Ackbar,ackbar@moncalamari.com,806210.54,2026-02-21
37,85,Mon Mothma,mothma@chandrila.gov,486805.06,2025-11-10
38,86,Hera Syndulla,hera@phoenix.net,512114.37,2026-04-25
39,87,Kanan Jarrus,kanan@rebel.jedi,855731.14,2025-08-09
40,88,Ezra Bridger,ezra@lothal.com,4133.14,2026-06-04
41,89,Sabine Wren,sabine@mandalore.net,842720.68,2025-08-02
42,90,Zeb Orrelios,zeb@lasat.org,3932.26,2025-10-11
43,97,Moff Gideon,gideon@darktroopers.com,267222.98,2026-04-08
44,98,Din Djarin,mandalorian@bountyhunter.net,872860.71,2026-01-27
45,103,Grogu,grogu@thechild.com,3488.21,2025-08-30
46,105,Bo-Katan Kryze,bokatan@mandalore.net,5689.61,2025-07-16
47,108,Fennec Shand,fennec@assassin.com,376837.03,2026-04-18
48,113,Cara Dune,cara.dune@shocktrooper.org,818379.42,2025-11-22
49,114,Greef Karga,greef@bountyhuntersguild.net,282597.68,2026-01-06
50,117,IG-11,ig11@droid.bounty,6450.70,2025-11-27
51,120,Paz Vizsla,paz@heavy.mandalorian,359408.81,2025-12-31
52,122,The Armorer,armorer@mandalore.net,975.74,2025-10-26
53,123,Asajj Ventress,asajj@nightsister.com,6267.93,2026-06-30
54,124,Savage Opress,savage@zabrak.org,2847.05,2026-04-16
55,125,Mother Talzin,talzin@nightsisters.net,449626.90,2025-07-29
56,127,Qira,qira@crimsondawn.com,3804.36,2026-04-11
57,128,Dryden Vos,dryden.vos@crimson.org,4551.56,2025-10-11
58,129,Enfys Nest,enfys@cloudriders.net,801.35,2026-01-20
59,131,Rose Tico,rose@resistance.tech,4695.89,2025-11-21
60,132,Hux,hux@firstorder.mil,506356.18,2025-07-04
61,134,Snoke,snoke@unknownregions.com,4892.62,2025-11-11
62,137,Zam Wesell,zam@clawdite.assassin,5498.64,2025-05-29
63,142,Plo Koon,plo.koon@keldor.jedi,3629.53,2025-07-06
64,143,Kit Fisto,kit.fisto@nautolan.net,291347.41,2026-02-11
65,144,Aayla Secura,aayla@rutian.twilek,4236.77,2026-06-27
66,146,Shaak Ti,shaak.ti@togruta.jedi,4192.32,2025-08-24
67,147,Luminara Unduli,luminara@mirialan.org,9067.69,2026-03-21
68,148,Barriss Offee,barriss@mirialan.net,1346418.53,2026-01-15
69,151,Coleman Trebor,coleman@vurk.jedi,169399.09,2026-01-14
70,153,Ki-Adi-Mundi,mundi@cerean.jedi,695032.43,2026-06-27
71,157,Depa Billaba,depa@chancellor.guard,3417.49,2026-04-02
72,158,Oppo Rancisis,oppo@thisspias.jedi,825540.98,2026-04-19
73,159,Even Piell,even@lannik.jedi,3176.19,2026-04-17
74,161,Saesee Tiin,saesee@iktotchi.jedi,138725.99,2025-09-08
75,162,Adi Gallia,adi@tholothian.jedi,1231523.57,2026-03-18
76,164,Stass Allie,stass@tholothian.net,2009.93,2025-06-09
77,166,Pong Krell,pong.krell@besalisk.com,6804.09,2026-03-30
78,169,Jocasta Nu,jocasta@archives.jedi,4362.69,2025-09-16
79,174,Tera Sinube,tera@cosian.jedi,3353.28,2025-07-24
80,175,Yaddle,yaddle@female.species,1365062.27,2026-03-28
81,176,Bendu,bendu@theones.who.came.before,1083232.09,2025-08-06
82,177,Nien Nunb,nien@sullust.pilot,5208.20,2026-04-03
83,178,Pelli Motto,pelli@mos.eisley.tech,4334.09,2025-07-29
84,184,Kuiil,kuiil@ugnaught.net,810050.15,2025-10-25
85,185,Mayfeld,mayfeld@ex-sharpshooter.com,6074.69,2026-05-24
86,189,Migs Mayfeld,migs@imperial.net,504164.15,2025-08-05
87,190,Valin Hess,hess@morningstar.com,5601.34,2025-11-28
88,193,Moroff,moroff@gigoran.mercenary,902456.45,2025-09-01
89,195,Benthic,benthic@twilek.partisan,4821.95,2025-11-26
90,197,Edrio,edrio@twin.tubes,3622.95,2025-10-11
